City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Cabo San Lucas,22.89,-109.91,82.99,78,40,9.17,MX,2020-09-13 02:13:34
98,Jaque,7.52,-78.17,78.62,87,100,3.22,PA,2020-09-13 02:13:35
99,Mount Isa,-20.73,139.5,84.2,23,0,11.41,AU,2020-09-13 02:11:48
100,Aleksandro-Nevskiy,53.48,40.21,49.03,71,0,7.47,RU,2020-09-13 02:13:36
101,Richards Bay,-28.78,32.04,66.25,81,0,15.3,ZA,2020-09-13 02:13:36
102,Krasnoselkup,65.7,82.47,53.98,82,100,15.97,RU,2020-09-13 02:13:36
103,Avarua,-21.21,-159.78,82.4,78,0,9.17,CK,2020-09-13 02:11:38
104,Pueblo Nuevo,23.38,-105.38,61.77,100,100,1.7,MX,2020-09-13 02:13:37
105,Tupiza,-21.45,-65.72,54.82,56,0,8.01,BO,2020-09-13 02:13:38
106,Astrea,9.5,-73.98,77.81,90,100,2.8,CO,2020-09-13 02:13:38
107,Provideniya,64.38,-173.3,45.82,68,73,15.57,RU,2020-09-13 02:12:09
108,Suez,29.97,32.53,74.32,84,0,9.6,EG,2020-09-13 02:13:38
109,Yerbogachen,61.28,108.01,51.67,66,0,4.88,RU,2020-09-13 02:12:06
110,Bengkulu,-3.8,102.27,80.55,77,2,7.23,ID,2020-09-13 02:13:39
111,Pipri,19.8,75.53,76.39,85,99,6.44,IN,2020-09-13 02:13:39
112,Prado,-17.34,-39.22,71.22,87,0,7.7,BR,2020-09-13 02:13:40
113,Leningradskiy,69.38,178.42,48.18,67,0,6.4,RU,2020-09-13 02:13:40
114,Qaanaaq,77.48,-69.36,25.47,86,93,8.66,GL,2020-09-13 02:13:40
115,Termiz,37.22,67.28,59.0,54,0,4.7,UZ,2020-09-13 02:13:41
116,Dakar,14.69,-17.44,77.0,94,20,2.24,SN,2020-09-13 02:08:49
117,Gat,31.61,34.76,78.01,12,0,4.0,IL,2020-09-13 02:13:41
118,Solwezi,-12.17,26.39,54.43,67,42,5.75,ZM,2020-09-13 02:13:41
119,Batemans Bay,-35.72,150.18,63.0,78,100,10.58,AU,2020-09-13 02:13:40
120,Hobyo,5.35,48.53,77.67,80,93,26.49,SO,2020-09-13 02:13:42
121,Juybar,36.64,52.91,71.71,78,0,6.93,IR,2020-09-13 02:13:42
122,Victoria,22.29,114.16,84.99,74,99,5.01,HK,2020-09-13 02:09:50
123,Touros,-5.2,-35.46,71.6,88,20,4.7,BR,2020-09-13 02:13:43
124,Beringovskiy,63.05,179.32,48.2,91,100,35.41,RU,2020-09-13 02:12:09
125,Flinders,-34.58,150.86,75.0,41,100,13.0,AU,2020-09-13 02:13:43
126,Solnechnyy,50.72,136.63,69.76,56,74,3.15,RU,2020-09-13 02:13:44
127,Zunheboto,25.97,94.52,66.18,100,98,0.6,IN,2020-09-13 02:13:44
128,Fortuna,40.6,-124.16,55.99,100,90,4.7,US,2020-09-13 02:12:55
129,Fare,-16.7,-151.02,79.88,74,83,9.57,PF,2020-09-13 02:13:46
130,Torbay,47.67,-52.73,54.0,81,75,10.29,CA,2020-09-13 02:13:46
